State_Code,State_Abv,Amount
2,AK,64402
1,AL,35494154
5,AR,151894555
4,AZ,12962135
6,CA,542361665
8,CO,100121805
9,CT,1721451
10,DE,2296797
12,FL,37317276
13,GA,93216138
15,HI,215633
19,IA,142207674
16,ID,59347731
17,IL,450864704
18,IN,391340550
20,KS,342902570
21,KY,90530443
22,LA,77826920
25,MA,1923325
24,MD,7845395
23,ME,4266990
26,MI,72525711
27,MN,87232529
29,MO,516410999
28,MS,117968293
30,MT,115378366
37,NC,221209897
38,ND,305658439
31,NE,181237008
33,NH,55332
34,NJ,4490920
35,NM,10132114
32,NV,20063041
36,NY,46019675
39,OH,180710541
40,OK,125481806
41,OR,48953586
42,PA,25519677
44,RI,62868
45,SC,125415251
46,SD,178700270
47,TN,44244167
48,TX,507917583
49,UT,3097991
51,VA,33420605
50,VT,3355814
53,WA,182774666
55,WI,50728101
54,WV,1142128
56,WY,6702037
